Strain	Environment	Experiment	Flask	Avg_GR	DFE_mean	Env_GR	Env_DFE_mean	GR_std	GR_max	GR_std_max_excluded	Env_series	DFE_graph
LK5-F07	37_SC7	LK5-F07_37_SC7	1	0.11380828133106449	0.0071979952483275066	0.407171065;0.1871614812486125;0.2868534398216915;0.1974306482129875;0.32488933637355244;0.3463412487715205;0.11380828133106449	-0.03904490181354677;-0.0020316387612065064;0.018968593229273852;-0.0007603560726667339;-0.011282474931919199;-0.02376628939711498;0.0071979952483275066	0.08285833758322012	0.3463412487715205	0.07525291159836398	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK5-F07_dfes.png
LK5-F08	30_SC3	LK5-F08_30_SC3	1	0.06836121977173451	0.01778119997988122	0.365046178;0.06836121977173451;0.13743697021156448;0.1454072587595585;0.31601378559365256;0.336315155210695;0.2134832709853395	-0.026647470680952003;0.01778119997988122;0.030430121916472187;0.004329196095684702;-0.015147505760352589;-0.018216708043155908;-0.019296144341006415	0.09695172367540271	0.336315155210695	0.08368737915525551	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK5-F08_dfes.png
LK5-F08	30_SC5	LK5-F08_30_SC5	1	0.13743697021156448	0.030430121916472187	0.365046178;0.06836121977173451;0.13743697021156448;0.1454072587595585;0.31601378559365256;0.336315155210695;0.2134832709853395	-0.026647470680952003;0.01778119997988122;0.030430121916472187;0.004329196095684702;-0.015147505760352589;-0.018216708043155908;-0.019296144341006415	0.09695172367540271	0.336315155210695	0.08368737915525551	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK5-F08_dfes.png
LK5-F08	30_SC7	LK5-F08_30_SC7	1	0.1454072587595585	0.004329196095684702	0.365046178;0.06836121977173451;0.13743697021156448;0.1454072587595585;0.31601378559365256;0.336315155210695;0.2134832709853395	-0.026647470680952003;0.01778119997988122;0.030430121916472187;0.004329196095684702;-0.015147505760352589;-0.018216708043155908;-0.019296144341006415	0.09695172367540271	0.336315155210695	0.08368737915525551	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK5-F08_dfes.png
LK5-F08	37_SC3	LK5-F08_37_SC3	1	0.31601378559365256	-0.015147505760352589	0.365046178;0.06836121977173451;0.13743697021156448;0.1454072587595585;0.31601378559365256;0.336315155210695;0.2134832709853395	-0.026647470680952003;0.01778119997988122;0.030430121916472187;0.004329196095684702;-0.015147505760352589;-0.018216708043155908;-0.019296144341006415	0.09695172367540271	0.336315155210695	0.08368737915525551	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK5-F08_dfes.png
LK5-F08	37_SC5	LK5-F08_37_SC5	1	0.336315155210695	-0.018216708043155908	0.365046178;0.06836121977173451;0.13743697021156448;0.1454072587595585;0.31601378559365256;0.336315155210695;0.2134832709853395	-0.026647470680952003;0.01778119997988122;0.030430121916472187;0.004329196095684702;-0.015147505760352589;-0.018216708043155908;-0.019296144341006415	0.09695172367540271	0.336315155210695	0.08368737915525551	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK5-F08_dfes.png
LK5-F08	37_SC7	LK5-F08_37_SC7	1	0.2134832709853395	-0.019296144341006415	0.365046178;0.06836121977173451;0.13743697021156448;0.1454072587595585;0.31601378559365256;0.336315155210695;0.2134832709853395	-0.026647470680952003;0.01778119997988122;0.030430121916472187;0.004329196095684702;-0.015147505760352589;-0.018216708043155908;-0.019296144341006415	0.09695172367540271	0.336315155210695	0.08368737915525551	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK5-F08_dfes.png
LK5-G01	30_SC3	LK5-G01_30_SC3	1	0.13408227259081898	0.017638427181797537	0.25259957299999997;0.13408227259081898;0.250242576267615;0.213092255833766;0.22822132029793749;0.249791281527209;0.202936571187401	-0.007661659525314072;0.017638427181797537;0.0031316787046622584;-0.005018641339390505;0.008472730045468013;0.007525659027838974;-0.0064876034243544125	0.03937334742609937	0.250242576267615	0.0390963003848756	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK5-G01_dfes.png
LK5-G01	30_SC3	LK5-G01_30_SC3	2	0.1262903215644155	0.017638427181797537	0.25259957299999997;0.13408227259081898;0.250242576267615;0.213092255833766;0.22822132029793749;0.249791281527209;0.202936571187401	-0.007661659525314072;0.017638427181797537;0.0031316787046622584;-0.005018641339390505;0.008472730045468013;0.007525659027838974;-0.0064876034243544125	0.03937334742609937	0.250242576267615	0.0390963003848756	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK5-G01_dfes.png
LK5-G01	30_SC3	LK5-G01_30_SC3	3	0.11113544480381285	0.017638427181797537	0.25259957299999997;0.13408227259081898;0.250242576267615;0.213092255833766;0.22822132029793749;0.249791281527209;0.202936571187401	-0.007661659525314072;0.017638427181797537;0.0031316787046622584;-0.005018641339390505;0.008472730045468013;0.007525659027838974;-0.0064876034243544125	0.03937334742609937	0.250242576267615	0.0390963003848756	YPD;30_SC3;30_SC5;30_SC7;37_SC3;37_SC5;37_SC7	data/DFEs/LK5-G01_dfes.png
