"Environment","Bio_rep","Flask","Strain","Mut_ID","Sel_coef"
"37_SC5","1","2","LK1-A02","5","-0.00632335668406573"
"37_SC5","1","2","LK1-A02","43","-0.0182899030482536"
"37_SC5","1","2","LK1-A02","63","-0.0610892885622739"
"37_SC5","1","2","LK1-A02","115","0.0049543173322673"
"37_SC5","1","2","LK1-A02","85","-0.0642585058037102"
"37_SC5","1","2","LK1-A02","51","0.0020016760806101"
"37_SC5","1","2","LK1-A02","105","0.014318678931728"
"37_SC5","1","2","LK1-A02","86","0.00479851042127007"
"37_SC5","1","2","LK1-A02","52","-0.02669996146076"
"37_SC5","1","2","LK1-A02","81","-0.00766447376327333"
"37_SC5","1","2","LK1-A02","45","-0.0385008633333333"
"37_SC5","1","2","LK1-A02","120","-0.01864573"
"37_SC5","1","2","LK1-A02","67","-0.0220622487487965"
"37_SC5","1","2","LK1-A02","123","0.00850555475"
"37_SC5","1","2","LK1-A02","19","0.00261387"
"37_SC5","1","2","LK1-A02","61","-0.0228969225513727"
"37_SC5","1","2","LK1-A02","22","-0.00313284384151207"
"37_SC5","1","2","LK1-A02","50","0.0198580757336876"
"37_SC5","1","2","LK1-A02","84","0.000388239519812605"
"37_SC5","1","2","LK1-A02","69","-0.0111466454726469"
"37_SC5","1","2","LK1-A02","53","-0.0654248172846091"
"37_SC5","1","2","LK1-A02","97","0.00608955689474371"
"37_SC5","1","2","LK1-A02","82","-0.000703366897824208"
"37_SC5","1","2","LK1-A02","21","-0.00125343"
"37_SC5","1","2","LK1-A02","83","0.0206698244339587"
"37_SC5","1","2","LK1-A02","26","0.0051597275"
"37_SC5","1","2","LK1-A02","59","-0.0282623268267614"
"37_SC5","1","2","LK1-A02","91","0.00088268760112079"
"37_SC5","1","2","LK1-A02","24","0.0141667615"
"37_SC5","1","2","LK1-B03","27","-0.0149755163212286"
"37_SC5","1","2","LK1-B03","122","0.0163029870507472"
"37_SC5","1","2","LK1-B03","26","0.0314899895684213"
"37_SC5","1","2","LK1-B03","1","0.0157921975680061"
"37_SC5","1","2","LK1-B03","108","0.0224226224179809"
"37_SC5","1","2","LK1-B03","124","0.0369340866089969"
"37_SC5","1","2","LK1-B03","39","0.000637530479587511"
"37_SC5","1","2","LK1-B03","96","0.06443432855"
"37_SC5","1","2","LK1-B03","104","-0.00394938255151183"
"37_SC5","1","2","LK1-B03","99","0.000610637900499114"
"37_SC5","1","2","LK1-B03","70","0.00214328195207651"
"37_SC5","1","2","LK1-B03","18","-0.0312649699477428"
"37_SC5","1","2","LK1-B03","50","0.0159110468251569"
"37_SC5","1","2","LK1-B03","14","0.0154178068393623"
"37_SC5","1","2","LK1-B03","10","0.00849291404366742"
"37_SC5","1","2","LK1-B03","45","-0.00611339999999999"
"37_SC5","1","2","LK1-B03","84","0.022608952624111"
"37_SC5","1","2","LK1-B03","43","0.0447594977163501"
"37_SC5","1","2","LK1-B03","55","0.00528080032089365"
"37_SC5","1","2","LK1-B03","42","0.00520022481020799"
"37_SC5","1","2","LK1-B03","123","0.0180642823037534"
"37_SC5","1","2","LK1-B03","114","0.00185386275280396"
"37_SC5","1","2","LK1-B03","11","0.0181486924794417"
"37_SC5","1","2","LK1-B03","91","-0.00665247306339799"
"37_SC5","1","2","LK1-B03","101","0.00837173319624192"
"37_SC5","1","2","LK1-B03","7","-0.0160406613631954"
"37_SC5","1","2","LK1-B03","102","0.0194056095658592"
"37_SC5","1","2","LK1-B03","46","0.00246168419365691"
"37_SC5","1","2","LK1-B03","15","-0.0229037880021298"
"37_SC5","1","2","LK1-B03","63","-0.0219505482841056"
"37_SC5","1","2","LK1-B03","44","0.01196849208813"
"37_SC5","1","2","LK1-B03","103","-0.0454378623831355"
"37_SC5","1","2","LK1-B03","51","0.0163265095985664"
"37_SC5","1","2","LK1-B03","17","0.00592434014048442"
"37_SC5","1","2","LK1-B03","62","0.00927903180562748"
"37_SC5","1","2","LK1-B03","23","0.0150654031318331"
"37_SC5","1","2","LK1-B03","92","0.0113935800372373"
"37_SC5","1","2","LK1-B03","121","0.0137265719154934"
"37_SC5","1","2","LK1-B03","2","0.00567422753983156"
"37_SC5","1","2","LK1-B03","127","0.0415283914020415"
"37_SC5","1","2","LK1-B03","76","0.0376531820405605"
"37_SC5","1","2","LK1-B03","35","0.00716349238797286"
"37_SC5","1","2","LK1-B03","120","-0.00448370909214574"
"37_SC5","1","2","LK1-B03","29","-0.0821757114531989"
"37_SC5","1","2","LK1-B03","6","0.0366218093117987"
"37_SC5","1","2","LK1-B03","58","-0.036373799642917"
"37_SC5","1","2","LK1-B03","59","0.00853156802466206"
"37_SC5","1","2","LK1-B03","85","0.0430772234923814"
"37_SC5","1","2","LK1-B03","119","-0.00723416691433787"
"37_SC5","1","2","LK1-B03","68","0.024421148748707"
"37_SC5","1","2","LK1-B03","110","0.0339420160368026"
"37_SC5","1","2","LK1-B03","105","-0.042524955"
"37_SC5","1","2","LK1-B03","71","0.014979794606002"
"37_SC5","1","2","LK1-B03","83","0.0251317301932972"
"37_SC5","1","2","LK1-B03","19","0.00737395866666667"
"37_SC5","1","2","LK1-B03","78","0.014086487"
"37_SC5","1","2","LK1-B03","79","0.034236915"
"37_SC5","1","2","LK1-B03","61","0.0198953833333333"
"37_SC5","1","2","LK1-B03","69","0.0269647203068014"
"37_SC5","1","2","LK1-B03","72","0.0082153936934641"
"37_SC5","1","2","LK1-B03","81","0.0166641979246858"
"37_SC5","1","2","LK1-B03","66","-0.0288865822242911"
"37_SC5","1","2","LK1-B03","94","0.0362013799004513"
"37_SC5","1","2","LK1-B03","5","0.00142951833333334"
"37_SC5","1","2","LK1-B03","67","0.0180249915883045"
"37_SC5","1","2","LK1-B03","97","-0.00219849924702197"
"37_SC5","1","2","LK1-B03","60","0.00873923"
"37_SC5","1","2","LK1-B03","115","0.0199325446537326"
"37_SC5","1","2","LK1-B03","25","-0.00452491845"
"37_SC5","1","2","LK1-B03","75","-0.02095093095"
"37_SC5","1","2","LK1-B03","86","-0.0305282610578597"
"37_SC5","1","2","LK1-B03","88","-0.0125899805524805"
"37_SC5","1","2","LK1-B03","9","0.0502254752167853"
"37_SC5","1","2","LK1-B03","41","-0.025307765"
"37_SC5","1","2","LK1-B03","93","0.03999105405"
"37_SC5","1","2","LK1-B03","34","-0.030269585"
"37_SC5","1","2","LK1-B03","80","0.000418654795746392"
"37_SC5","1","2","LK1-B03","21","0.02228929"
"37_SC5","1","2","LK1-B03","22","0.0242528225"
"37_SC5","1","2","LK1-B03","82","-0.013475095"
"37_SC5","1","2","LK1-B03","3","-0.0033261825"
"37_SC5","1","2","LK1-B03","57","-0.10688657"
"37_SC5","1","2","LK1-B03","107","0.118639545"
"37_SC5","1","2","LK2-F04","104","5.5373130345046e-06"
"37_SC5","1","2","LK2-F04","123","-0.0117036460965186"
